inventory_order,batch_id,product_key,Handle,title_discovery,url,identity_status,public_status,source_refs,image_count,research_status,review_status
61,B007,chillgen.com::personalized-good-day-to-do-math-typography-door-mat-non-slip-backing,personalized-good-day-to-do-math-typography-door-mat-non-slip-backing,"Personalized Good Day To Do Math typography Door Mat, Non-Slip Backing",https://chillgen.com/products/personalized-good-day-to-do-math-typography-door-mat-non-slip-backing,VERIFIED,PUBLIC_AVAILABLE,SRC02#records=62-67;PUBLIC_JSON:https://chillgen.com/products.json?limit=250&page=1,6,NOT_STARTED,NEEDS_REVIEW
62,B007,chillgen.com::personalized-open-book-with-flowers-and-pencil-door-mat,personalized-open-book-with-flowers-and-pencil-door-mat,Personalized Open Book With Flowers And Pencil Door Mat,https://chillgen.com/products/personalized-open-book-with-flowers-and-pencil-door-mat,VERIFIED,PUBLIC_AVAILABLE,SRC02#records=68-73;PUBLIC_JSON:https://chillgen.com/products.json?limit=250&page=1,6,NOT_STARTED,NEEDS_REVIEW
63,B007,chillgen.com::personalized-composition-notebook-teacher-door-mat-non-slip-backing,personalized-composition-notebook-teacher-door-mat-non-slip-backing,"Personalized Composition Notebook Teacher Door Mat, Non-Slip Backing",https://chillgen.com/products/personalized-composition-notebook-teacher-door-mat-non-slip-backing,VERIFIED,PUBLIC_AVAILABLE,SRC02#records=74-79;PUBLIC_JSON:https://chillgen.com/products.json?limit=250&page=1,6,NOT_STARTED,NEEDS_REVIEW
64,B007,chillgen.com::personalized-composition-notebook-style-teacher-door-mat,personalized-composition-notebook-style-teacher-door-mat,Personalized Composition Notebook Style Teacher Door Mat,https://chillgen.com/products/personalized-composition-notebook-style-teacher-door-mat,VERIFIED,PUBLIC_AVAILABLE,SRC02#records=80-86;PUBLIC_JSON:https://chillgen.com/products.json?limit=250&page=1,7,NOT_STARTED,NEEDS_REVIEW
65,B007,chillgen.com::personalized-colorful-class-teacher-welcome-door-mat-classroom-decor,personalized-colorful-class-teacher-welcome-door-mat-classroom-decor,"Personalized Colorful Class Teacher Welcome Door Mat, Classroom Decor",https://chillgen.com/products/personalized-colorful-class-teacher-welcome-door-mat-classroom-decor,VERIFIED,PUBLIC_AVAILABLE,SRC02#records=87-92;PUBLIC_JSON:https://chillgen.com/products.json?limit=250&page=1,6,NOT_STARTED,NEEDS_REVIEW
66,B007,chillgen.com::personalized-playful-teacher-name-school-supply-star-doormat,personalized-playful-teacher-name-school-supply-star-doormat,Personalized Playful Teacher Name School Supply Star Doormat,https://chillgen.com/products/personalized-playful-teacher-name-school-supply-star-doormat,VERIFIED,PUBLIC_AVAILABLE,SRC02#records=93-98;PUBLIC_JSON:https://chillgen.com/products.json?limit=250&page=1,6,NOT_STARTED,NEEDS_REVIEW
67,B007,chillgen.com::personalized-flower-star-school-retro-whimsical-welcome-door-mat,personalized-flower-star-school-retro-whimsical-welcome-door-mat,"Personalized Flower Star School, retro, whimsical Welcome Door Mat",https://chillgen.com/products/personalized-flower-star-school-retro-whimsical-welcome-door-mat,VERIFIED,PUBLIC_AVAILABLE,SRC02#records=99-104;PUBLIC_JSON:https://chillgen.com/products.json?limit=250&page=1,6,NOT_STARTED,NEEDS_REVIEW
68,B007,chillgen.com::personalized-in-this-classroom-inspirational-text-doormat,personalized-in-this-classroom-inspirational-text-doormat,Personalized In This Classroom Inspirational Text Doormat,https://chillgen.com/products/personalized-in-this-classroom-inspirational-text-doormat,VERIFIED,PUBLIC_AVAILABLE,SRC02#records=105-110;PUBLIC_JSON:https://chillgen.com/products.json?limit=250&page=1,6,NOT_STARTED,NEEDS_REVIEW
69,B007,chillgen.com::personalized-flower-star-classroom-nature-rug,personalized-flower-star-classroom-nature-rug,Personalized Flower Star classroom / nature Rug,https://chillgen.com/products/personalized-flower-star-classroom-nature-rug,VERIFIED,PUBLIC_AVAILABLE,SRC02#records=111-116;PUBLIC_JSON:https://chillgen.com/products.json?limit=250&page=1,6,NOT_STARTED,NEEDS_REVIEW
70,B007,chillgen.com::personalized-text-books-and-flowers-classroom-inspiration-doormat,personalized-text-books-and-flowers-classroom-inspiration-doormat,Personalized Text books and flowers classroom inspiration Doormat,https://chillgen.com/products/personalized-text-books-and-flowers-classroom-inspiration-doormat,VERIFIED,PUBLIC_AVAILABLE,SRC02#records=117-122;PUBLIC_JSON:https://chillgen.com/products.json?limit=250&page=1,6,NOT_STARTED,NEEDS_REVIEW
